Word,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
covid-19,2.2534498470744995e-05,0.005971071827478328,1.4511976735181967e-05,0.020413607280952206,3.077820716651322e-05,0.01566854140785442,4.684161053366233e-05,0.007931485014473985,2.319107429487962e-05,0.0024489541414947115
vaccination,0.00039505521359027855,0.005590429493615771,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,0.010041482168845522,4.684161053366233e-05,0.0031773870820866073,0.00424031228119809,0.0066558311019885635
needed,2.2534498470744995e-05,0.0003883175974941595,0.0002544113451727036,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,0.0015926877712908148,2.319107429487962e-05,1.3393795945639651e-05
harm,0.004865303795024681,0.008381806608607855,0.00121400881892279,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,0.0002721050122943211,2.319107429487962e-05,1.3393795945639651e-05
actual,2.2534498470744995e-05,0.002672171600669501,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,1.3393795945639651e-05
virus,0.0030027002194270135,0.015487130174042251,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,0.008063543290373634,2.319107429487962e-05,1.3393795945639651e-05
numbers,2.2534498470744995e-05,0.0007689599313567165,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,1.3393795945639651e-05
cdc,0.00039505521359027855,7.675263631602553e-06,1.4511976735181967e-05,0.004397412288979856,0.00969795031727048,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,1.3393795945639651e-05
vaers,0.003375220934546547,7.675263631602553e-06,0.0002544113451727036,0.005853430015522797,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,0.0030901883156790326,1.3393795945639651e-05
information,2.2534498470744995e-05,7.675263631602553e-06,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,0.001328571219491516,2.319107429487962e-05,0.0008990521034180296
thing,0.00039505521359027855,0.0031796947124862435,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,0.0005362215640936199,2.319107429487962e-05,1.3393795945639651e-05
actual_covid-19_virus,2.2534498470744995e-05,0.00026143681953997384,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,1.3393795945639651e-05
absolutely,2.2534498470744995e-05,0.004321621714073914,0.002413505661110398,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,0.005818552600079595,2.319107429487962e-05,0.0037774416027032964
dangerous,2.2534498470744995e-05,0.005844191049524142,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,0.00264915397848801,2.319107429487962e-05,1.3393795945639651e-05
opening,0.00039505521359027855,7.675263631602553e-06,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,0.0004065657294678988,1.3393795945639651e-05
trial,0.005610345225263749,7.675263631602553e-06,1.4511976735181967e-05,0.002456055320255936,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,0.0010644546676922173,2.319107429487962e-05,1.3393795945639651e-05
high,2.2534498470744995e-05,0.005336667937707399,0.00121400881892279,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,1.3393795945639651e-05
catching,2.2534498470744995e-05,0.0008958407093109021,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,0.0002721050122943211,2.319107429487962e-05,1.3393795945639651e-05
transmitting,2.2534498470744995e-05,0.0005151983754483452,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,1.3393795945639651e-05
absolutely_dangerous_opening,2.2534498470744995e-05,7.675263631602553e-06,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,0.0004065657294678988,1.3393795945639651e-05
high_risk,2.2534498470744995e-05,0.002037767710898573,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,1.3393795945639651e-05
strongly,2.2534498470744995e-05,7.675263631602553e-06,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,0.0025387365168336577,4.684161053366233e-05,0.009780300877069076,2.319107429487962e-05,1.3393795945639651e-05
